Train data done.
[还, AD, DP:advmod, DPW:当, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[操作方便, NN, DP:dep, DPW:卡设计, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[还有, AD, DP:advmod, DPW:卡设计, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[双, CD, DP:nummod, DPW:卡设计, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[卡设计, NN, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[4., CD, DP:nummod, DPW:省, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[省, NN, DP:nn, DPW:电, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[电, NN, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP

[3.CCD, CD, DP:nsubj, DPW:脏, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[容易, AD, DP:advmod, DPW:脏, DPPOS:VV, OP:POS, EM:NONE] >> KEY:NONE KEY:NONE
[脏, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[数码, JJ, DP:amod, DPW:单, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[单, NN, DP:nsubj, DPW:反, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[反, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[通病, NN, DP:dobj, DPW:反, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[4., CD, DP:nsubj, DPW:2000, DPPOS:CD, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[没有, VV, DP:dep, DPW:2000, DPPOS:CD, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[B, NN, DP:nn, DPW:快门, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[快门, NN, DP:dep, DPW:速度, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[最高, JJ, DP:amod, DPW:速度, DPPOS:NN, OP:POS, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[速度, NN, DP:dobj, DPW:没有, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[1, CD, DP:nummod, DPW:2000, DPPOS:CD, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[/, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[2000, CD, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[总结, VV, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[：, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[暇, NR, DP:nsubj, DPW:掩, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[不, AD, DP:neg, DPW:掩, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[掩, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[瑜, NN, DP:dobj, DPW:掩, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[效果, NN, DP:nsubj, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[好, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP

[坏, VA, DP:dep, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:OP $$$$$$
[得, DER, DP:dep, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[太, AD, DP:advmod, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[快, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[太, AD, DP:advmod, DPW:娇气, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[娇气, VA, DP:dep, DPW:快, DPPOS:VA, OP:NEG, EM:NONE] >> KEY:OP KEY:OP

[那么, AD, DP:advmod, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[再, AD, DP:advmod, DPW:买, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[买, VV, DP:mmod, DPW:买, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[买, VV, DP:rcmod, DPW:机, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:OP $$$$$$
[什么, PN, DP:dobj, DPW:买, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[机, NN, DP:nsubj, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[好, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:OP $$$$$$
[呢, SP, DP:dep, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[？, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[PS:, NN, DP:nn, DPW:楼下, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[楼下, NN, DP:top, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[是, VC, DP:pccomp, DPW:发, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[说, VV, DP:attr, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEC, DP:cpm, DPW:说, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[S2, CD, DP:nummod, DPW:说, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[吧, SP, DP:dep, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[发, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[错, NN, DP:nn, DPW:地方, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[地方, NN, DP:dobj, DPW:发, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[了, SP, DP:dep, DPW:发, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[1200, CD, DP:dep, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[像, P, DP:prep, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[素, AD, DP:advmod, DPW:牛皮, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[牛皮, VA, DP:pccomp, DPW:像, DPPOS:P, OP:NONE, EM:NONE] >> KEY:OP KEY:ATTR $$$$$$
[也, AD, DP:advmod, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[不, AD, DP:neg, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[是, VC, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[吹, VV, DP:attr, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[的, DEC, DP:cpm, DPW:吹, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的确, AD, DP:advmod, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[有, VE, DP:dep, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[过, AS, DP:asp, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[人, NN, DP:assmod, DPW:处, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[之, DEG, DP:assm, DPW:人, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[处, NN, DP:dobj, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$

[颜色, NN, DP:nsubj, DPW:讨, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[很, AD, DP:advmod, DPW:讨, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[讨, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[人, NN, DP:dobj, DPW:讨, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[喜欢, VV, DP:conj, DPW:讨, DPPOS:VV, OP:NONE, EM:POS] >> KEY:OP KEY:OP

[图片, NN, DP:nn, DPW:颗粒, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[颗粒, NN, DP:nsubj, DPW:大, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[稍, AD, DP:advmod, DPW:大, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[大, VA, DP:dep, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[特别, AD, DP:advmod, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[是, VC, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[暗处, NN, DP:attr, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[存储, VV, DP:top, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[和, CC, DP:cc, DPW:存储, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[回, VV, DP:conj, DPW:存储, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[看, VV, DP:dep, DPW:存储, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[速度, NN, DP:nsubj, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[不, AD, DP:neg, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[快, VA, DP:ccomp, DPW:看, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[(, VV, DP:dep, DPW:看, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[我, PN, DP:dobj, DPW:(, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEC, DP:cpm, DPW:存储, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[是, VC, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[SANDISK, NN, DP:nn, DPW:水货, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[水货, NN, DP:nn, DPW:), DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[1G, CD, DP:nummod, DPW:), DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[卡, VV, DP:vmod, DPW:), DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[), NN, DP:attr, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[闪光, NN, DP:nn, DPW:摄影, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[摄影, NN, DP:nsubj, DPW:曝光, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[自动, AD, DP:advmod, DPW:曝光, DPPOS:VV, OP:POS, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[曝光, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[不, AD, DP:neg, DPW:准确, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[准确, VA, DP:rcmod, DPW:闪光灯, DPPOS:NN, OP:POS, EM:NONE] >> KEY:OP KEY:OP
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[无法, AD, DP:advmod, DPW:使用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[使用, VV, DP:dep, DPW:准确, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[自动, JJ, DP:amod, DPW:变焦, DPPOS:NN, OP:POS, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[变焦, NN, DP:dobj, DPW:使用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[的, DEC, DP:cpm, DPW:准确, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[闪光灯, NN, DP:dobj, DPW:曝光, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[优点, NN, DP:nsubj, DPW:多, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:OP $$$$$$
[不, AD, DP:neg, DPW:多, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:OP $$$$$$
[多, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[缺点, NN, DP:nsubj, DPW:不少, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[不少, VA, DP:dep, DPW:多, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:OP $$$$$$

[色彩, NN, DP:nsubj, DPW:漂亮, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[漂亮, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:POS, EM:NONE] >> KEY:OP KEY:OP

[ISO, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[高, JJ, DP:amod, DPW:些, DPPOS:M, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[些, M, DP:dobj, DPW:ISO, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[320, CD, DP:conj, DPW:ISO, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[照片, NN, DP:nn, DPW:颗粒, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[颗粒, NN, DP:nsubj, DPW:粗, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[较, AD, DP:advmod, DPW:粗, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[粗, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[细节, NN, DP:nn, DPW:表现, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[表现, NN, DP:nsubj, DPW:理想, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[不, AD, DP:neg, DPW:理想, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[理想, VA, DP:dep, DPW:粗, DPPOS:VA, OP:POS, EM:NONE] >> KEY:OP KEY:OP

[挺, AD, DP:advmod, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[好, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP

[拍, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[了, AS, DP:asp, DPW:拍, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[4000, CD, DP:dep, DPW:张, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[多, CD, DP:nummod, DPW:张, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[张, M, DP:dep, DPW:拍, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[了, SP, DP:dep, DPW:拍, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[用, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:OP $$$$$$
[了, AS, DP:asp, DPW:用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[2, CD, DP:nummod, DPW:个, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[个, M, DP:clf, DPW:月, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[月, NN, DP:nsubj, DPW:左右, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[左右, VV, DP:dep, DPW:用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[吧, SP, DP:dep, DPW:左右, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[自己, PN, DP:nsubj, DPW:改造, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[改造, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[了, AS, DP:asp, DPW:改造, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[用, P, DP:assmod, DPW:盒, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[5, CD, DP:nummod, DPW:号, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[号, M, DP:clf, DPW:电池, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[电池, NN, DP:pobj, DPW:用, DPPOS:P, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEG, DP:assm, DPW:用, DPPOS:P, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[电池, NN, DP:nn, DPW:盒, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[盒, NN, DP:dobj, DPW:改造, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[解决, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[了, AS, DP:asp, DPW:解决, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[电源, NN, DP:nn, DPW:问题, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[问题, NN, DP:dobj, DPW:解决, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[24, CD, DP:nummod, DPW:节, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[节, M, DP:clf, DPW:电池, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[大容量, NN, DP:nn, DPW:电池, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[电池, NN, DP:nsubj, DPW:准备, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[准备, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[着, AS, DP:asp, DPW:准备, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[呵呵, VV, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[成像, NN, DP:nn, DPW:朋友, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[朋友, NN, DP:nsubj, DPW:说, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[说, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[好, AD, DP:advmod, DPW:过, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[过, VV, DP:ccomp, DPW:说, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[d100, CD, DP:range, DPW:过, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[就, AD, DP:advmod, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[是, VC, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[iso320, CD, DP:nummod, DPW:麻烦, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[麻烦, NN, DP:attr, DPW:是, DPPOS:VC, OP:NEG, EM:NONE] >> KEY:OP KEY:OP

[快门, NN, DP:nn, DPW:时值, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[时值, NN, DP:nsubj, DPW:长, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[太, AD, DP:advmod, DPW:长, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[长, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP

[连, AD, DP:advmod, DPW:拍, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[拍, VV, DP:dep, DPW:慢, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[太, AD, DP:advmod, DPW:慢, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[慢, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP

[快门, NN, DP:nn, DPW:声音, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[声音, NN, DP:nsubj, DPW:爽, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[很, AD, DP:advmod, DPW:爽, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[不, AD, DP:neg, DPW:爽, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[爽, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP

[拍, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[了, AS, DP:asp, DPW:拍, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[4000, CD, DP:dep, DPW:张, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[多, CD, DP:nummod, DPW:张, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[张, M, DP:dep, DPW:拍, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[了, SP, DP:dep, DPW:拍, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[用, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:OP $$$$$$
[了, AS, DP:asp, DPW:用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[2, CD, DP:nummod, DPW:个, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[个, M, DP:clf, DPW:月, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[月, NN, DP:nsubj, DPW:左右, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[左右, VV, DP:dep, DPW:用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[吧, SP, DP:dep, DPW:左右, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[自己, PN, DP:nsubj, DPW:改造, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
